T,RESIDUALS,SIG_RESID
1997.62902,1.99443,1.89202
1997.63176,-0.51009,1.93271
1997.63450,2.45290,2.00102
1997.63723,2.63340,1.89638
1997.63997,3.15141,1.90365
1997.64271,5.36893,1.90946
1997.64545,0.83396,1.92981
1997.64819,1.40150,1.93853
1997.65092,1.35655,1.97195
1997.65366,0.25411,1.89493
1997.65640,5.12819,1.89784
1997.65914,1.42678,1.88040
1997.66188,0.53188,1.90656
1997.66461,0.28451,1.91818
1997.66735,0.98765,1.91528
1997.67009,0.81731,1.91673
1997.67283,0.94449,1.91092
1997.67556,-0.28780,1.93271
1997.67830,0.16844,1.89929
1997.68104,0.50020,1.92254
1997.68378,0.26249,1.90801
1997.68652,0.95432,1.92254
1997.68925,-1.03131,2.03299
1997.69199,-0.15441,1.91964
1997.69473,0.88504,1.94434
1997.69747,1.02503,1.92835
1997.70021,-0.74343,1.92254
1997.70294,2.24866,2.03153
1997.70568,0.86131,1.94579
1997.70842,0.55252,1.93417
1997.71116,0.94629,1.99520
1997.71389,-1.66338,2.01119
1997.71663,0.81153,1.93417
1997.71937,2.24101,1.97486
1997.72211,0.92408,1.90510
1997.72485,1.38572,1.98212
1997.72758,1.47696,1.97050
1997.73032,-0.38122,1.91818
1997.73306,1.06421,2.06641
1997.73580,0.03224,1.99956
1997.73854,4.69887,2.04897
1997.74127,4.62412,1.94579
1997.74401,3.88499,1.94289
1997.74675,-1.30053,1.92836
1997.74949,-0.36041,2.01264
1997.75222,-0.49865,1.98358
1997.75496,-0.33926,1.94725
1997.75770,-0.28222,2.06205
1997.76044,3.02947,2.01264
1997.76318,2.73081,1.92545
1997.76591,-0.49617,1.94870
1997.76865,-1.80849,2.01555
1997.77139,-2.47213,2.01410
1997.77413,0.76591,1.96469
1997.77687,-0.41336,1.94725
1997.77960,1.02807,1.93853
1997.78234,0.40720,1.95451
1997.78508,1.04904,1.91528
1997.78782,1.04059,1.92545
1997.79055,0.50087,1.97777
1997.79329,-0.48012,1.91964
1997.79603,-0.44338,1.92254
1997.79877,0.73611,1.89493
1997.80151,1.87335,1.91964
1997.80424,4.97135,1.98358
1997.80698,0.59612,1.91819
1997.80972,0.11166,1.93562
1997.81246,1.11798,1.91964
1997.81520,-0.75891,1.98358
1997.81793,-0.48900,1.91383
1997.82067,0.61771,1.98067
1997.82341,1.29424,1.94725
1997.82615,-0.25842,2.07513
1997.82888,-1.24925,2.03590
1997.83162,-0.27524,2.05043
1997.83436,1.75761,1.98068
1997.83710,2.02131,2.00538
1997.83984,0.98787,2.03880
1997.84257,-1.02369,2.00102
1997.84531,-2.73339,1.98504
1997.84805,-1.51720,2.12018
1997.85079,1.25189,1.97777
1997.85352,2.03487,1.93127
1997.85626,1.46076,1.98068
1997.85900,-0.11643,1.97341
1997.86174,0.97331,2.08821
1997.86448,0.36498,2.01410
1997.86721,1.14259,2.00393
1997.86995,0.55415,2.03735
1997.87269,1.96368,2.00393
1997.87543,3.49317,2.04171
1997.87817,1.43163,2.05770
1997.88090,-0.10592,2.00829
1997.88364,0.55253,2.10710
1997.88638,1.25997,2.03735
1997.88912,1.16342,2.05043
1997.89185,-0.20710,2.13181
1997.89459,-4.01360,2.09548
1997.89733,-0.12207,2.07514
1997.90007,0.91751,2.02137
1997.90281,-0.76486,2.02137
1997.90554,-0.16917,1.98068
1997.90828,-1.84441,1.97777
1997.91102,1.02142,1.91529
1997.91376,-0.29065,1.98213
1997.91650,-0.02764,1.92982
1997.91923,0.04848,1.96906
1997.92197,-0.58829,2.13036
1997.92471,0.81205,1.97051
1997.92745,0.48452,1.97778
1997.93018,-1.01187,1.97196
1997.93292,-1.23812,1.92546
1997.93566,-0.94622,2.00829
1997.93840,1.01784,1.92691
1997.94114,0.91107,1.95889
