T,RESIDUALS,SIG_RESID
1999.78371,4.22250,2.66777
1999.78645,5.78832,2.64143
1999.78919,10.05103,2.61044
1999.79192,6.76862,2.64298
1999.79466,6.23211,2.62593
1999.79740,6.06950,2.63833
1999.80287,5.85400,2.69566
1999.80561,7.01813,2.64918
1999.80835,5.40519,2.66312
1999.81109,4.34819,2.69101
1999.81383,0.91513,2.75919
1999.81656,1.69402,2.67242
1999.81930,7.28686,2.73285
2000.31596,6.24420,6.88146
2000.31759,3.60871,2.69421
2000.32033,1.78958,2.67561
2000.32307,3.71449,2.66012
2000.32580,5.54443,2.61209
2000.32854,5.57138,2.62758
2000.33128,2.53235,2.70970
2000.33402,1.03232,2.82901
2000.33676,1.32329,2.81816
2000.33949,2.06825,2.62604
2000.34223,0.80420,2.67252
2000.34497,3.33812,2.62449
2000.34771,4.25101,2.66787
2000.35044,4.52186,2.72675
2000.35318,1.92167,2.69577
2000.35592,3.13342,2.63844
2000.35769,14.56188,6.69868
2000.43532,4.42981,2.56563
2000.43806,4.00986,2.63690
2000.44079,3.11866,2.47576
2000.44353,3.20619,2.48351
2000.44627,4.27346,2.44477
2000.44901,3.49146,2.50985
2000.45175,4.34519,2.55169
2000.45448,0.01663,2.61676
2000.45722,4.82779,2.46956
2000.45996,3.57965,2.52225
2000.46270,1.99322,2.57648
2000.46543,3.04949,2.54859
2000.46817,4.37845,2.54704
2000.47091,1.73210,2.46647
2000.47365,3.61843,2.46027
2000.47639,2.54844,2.51140
2000.47912,1.38113,2.66325
2000.48186,6.39849,2.52535
2000.48460,5.55051,2.53000
2000.48734,5.21720,2.54084
2000.49008,4.31554,2.55014
2000.49281,4.33354,2.52535
2000.49555,3.61119,2.60902
2000.49829,2.45349,2.51450
2000.50103,3.53443,2.50521
2000.50376,3.00100,2.46182
2000.50650,5.14822,2.53310
2000.50924,2.94006,2.63381
2000.51198,1.85754,2.49281
2000.51472,1.52064,2.47732
2000.51745,-0.29464,2.56564
2000.52019,3.08871,2.66325
2000.52293,2.47167,2.60128
2000.52567,2.79024,2.53000
2000.52841,2.15543,2.55944
2000.53114,3.24222,2.62607
2000.53388,3.74063,2.56099
2000.53662,2.42864,2.57184
2000.53936,4.96125,2.53775
2000.54209,2.36546,2.52535
2000.54483,2.18527,2.47112
2000.54757,3.58368,2.67720
2000.55031,3.10968,2.62452
2000.55305,2.43428,2.58888
2000.55578,2.50647,2.58578
2000.55852,3.60625,2.53620
2000.56126,2.95162,2.58578
2000.56400,3.28458,2.55634
2000.56674,3.53713,2.62452
2000.56947,2.65726,2.68340
2000.57222,2.44495,2.92510
2000.57769,1.13315,2.59353
2000.58043,2.35363,2.61832
2000.58317,4.43869,2.76087
2000.58590,-0.16166,2.88017
2000.66365,3.76281,6.46324
2000.66530,3.75183,2.61367
2000.66804,2.13260,2.72987
2000.67077,2.92602,2.61367
2000.67351,4.95208,2.61367
2000.67625,3.73479,2.56099
2000.67899,4.50816,2.65395
2000.68172,5.08719,2.65705
2000.68446,3.40187,2.81974
2000.68720,2.12523,2.71128
2000.68994,2.88925,2.88481
2000.69268,3.30595,2.89565
2000.69541,3.73133,2.76241
2000.69815,3.45639,2.61831
2000.70089,3.00614,2.63691
2000.70363,6.09859,2.72987
2000.70637,7.09273,2.71438
2000.70910,4.67758,2.61057
2000.71184,6.16013,2.72057
2000.71458,1.24040,2.67099
2000.71732,6.30039,2.73452
2000.72005,4.45910,2.73607
2000.72279,4.65354,2.58422
2000.72553,5.78672,2.57958
2000.72827,6.01763,2.61676
2000.73101,3.39229,2.60127
2000.73374,5.27870,2.53774
2000.73648,5.26687,2.57957
2000.73922,2.29381,2.62916
2000.74196,5.60951,2.74536
2000.74470,6.55299,2.57028
2000.74743,3.05524,2.55168
2000.75017,4.05529,2.64465
2000.75291,2.16113,2.68184
2000.75565,3.87777,2.65859
2000.75838,2.94121,2.49900
2000.76112,3.64247,2.57183
2000.76386,5.08054,2.51914
2000.76660,3.01544,2.51449
2000.76934,4.20717,2.53619
2000.77207,4.58374,2.51604
2000.77481,1.62815,2.52689
2000.77755,0.42142,2.60436
2000.78029,3.84954,2.57492
2000.78303,4.07052,2.55323
2000.78576,2.46338,2.56872
2000.78850,2.74912,2.50830
2000.79124,3.25474,2.44631
2000.79398,2.39225,2.73761
2000.79671,3.91567,2.62141
2000.79945,5.29898,2.64155
2000.80219,2.55621,2.62915
2000.80493,3.62436,2.43082
2000.80767,6.71844,2.45251
2000.81040,4.49845,2.50365
2000.81314,6.15740,2.58422
2000.81588,3.31730,2.42462
2000.85256,0.52177,5.75379
2000.85421,3.19041,2.45406
2000.85695,4.55338,2.50984
2000.85969,6.14041,2.60901
2000.86242,4.59451,2.42152
2000.86516,3.54569,2.47575
2000.86790,3.76595,2.54548
2000.87064,2.37930,2.47730
2000.87337,2.08175,2.45251
2000.87611,4.39830,2.52999
2000.87885,4.45296,2.42772
2000.88159,3.15674,2.46956
