T,RESIDUALS,SIG_RESID
2012.11498,-0.65859,1.61784
2012.11772,-1.81825,1.61919
2012.12046,-1.88028,1.62725
2012.12320,-0.15667,1.60174
2012.12594,-0.35343,1.61114
2012.12867,-0.73855,1.63935
2012.13141,-2.47205,1.66218
2012.13415,-1.04795,1.62593
2012.13689,-2.05317,1.61116
2012.13963,-2.31280,1.67428
2012.14236,-2.27181,1.65414
2012.14510,-1.19522,1.62191
2012.14784,-1.27602,1.57223
2012.15058,-2.04121,1.57895
2012.15332,-0.25283,1.60581
2012.15583,-1.42669,1.79112
2012.15988,-3.03842,3.54261
2012.16153,-1.24905,1.61120
2012.16427,-2.47131,1.60986
2012.16700,-0.58298,1.62061
2012.16974,-0.75509,1.58167
2012.17248,-2.14466,1.58839
2012.17522,-1.44463,1.58436
2012.17796,-1.75208,1.58974
2012.18069,-0.71097,1.58705
2012.18343,0.00867,1.58034
2012.18617,0.26084,1.57632
2012.18891,-0.05946,1.57767
2012.19164,-1.63925,1.61258
2012.19438,-0.94352,1.68644
2012.19712,-2.62029,1.62736
2012.19986,-0.91057,1.56962
2012.20260,0.48465,1.62200
2012.20533,-2.08565,1.59649
2012.20807,-2.07848,1.57098
2012.21081,-1.98484,1.57635
2012.21355,-2.52074,1.57233
2012.21629,-1.25019,1.62067
2012.21902,-1.10320,1.59919
2012.22176,0.02822,1.59248
2012.22450,-0.53093,1.59249
2012.22724,0.17234,1.56429
2012.22998,-1.49099,1.57772
2012.23271,-1.43391,1.57370
2012.23545,-1.99345,1.59518
2012.23819,-0.31560,1.58310
2012.24093,-1.66839,1.57773
2012.24366,-1.92881,1.64085
2012.24640,-1.71987,1.58580
2012.24914,-1.78160,1.62205
2012.25188,0.39601,1.58580
2012.25462,0.63795,1.60058
2012.25735,0.02920,1.59386
2012.26009,1.31575,1.61804
2012.26283,1.20960,1.58716
2012.26557,-0.15926,1.58313
2012.26831,0.94316,1.59925
2012.27104,0.29282,1.58314
2012.27378,0.05675,1.60059
2012.27652,-0.30108,1.57643
2012.27926,-0.62568,1.60463
2012.28199,-0.52705,1.58449
2012.28473,-0.73921,1.56569
2012.28747,0.90083,1.54824
2012.29021,0.03506,1.59792
2012.29295,-0.04753,1.56570
2012.29568,-0.76595,1.57913
2012.29842,-0.17522,1.58987
2012.30116,1.33867,1.58853
2012.30390,0.91869,1.56973
2012.30664,0.69985,1.57242
2012.30937,-0.25491,1.58182
2012.31211,0.00245,1.64359
2012.31485,-0.93709,1.62076
2012.31759,-0.01656,1.57108
2012.32032,0.01105,1.63016
2012.32306,1.50171,1.58451
2012.32580,1.09443,1.59257
2012.32854,0.97717,1.60734
2012.33128,1.12894,1.59794
2012.33401,0.92472,1.60197
2012.33675,-0.44049,1.57780
2012.33949,0.95628,1.61003
2012.34223,1.16304,1.58855
2012.34497,0.63978,1.58989
2012.34770,2.33445,1.61272
2012.35044,0.37608,1.62615
2012.35318,0.45664,1.58587
2012.35592,1.72613,1.58989
2012.35865,0.33153,1.58721
2012.36139,0.03483,1.55633
2012.36413,1.28704,1.80203
2012.36687,2.21709,1.57915
2012.36961,1.05103,1.56170
2012.37234,0.44383,1.59392
2012.37508,-0.75053,1.55901
2012.37782,-0.16405,1.58721
2012.38056,0.54125,1.57781
2012.38330,1.51638,1.58721
2012.38603,1.44629,1.65703
2012.38877,-0.19900,1.62884
2012.39151,1.28049,1.58721
2012.39425,-0.89024,1.60198
2012.39698,-0.60822,1.60601
2012.39972,-0.58145,1.61809
2012.40246,1.47207,1.67046
2012.40520,0.91331,1.59929
2012.40794,-0.19872,1.57110
2012.41067,1.01295,1.58587
2012.41341,1.49332,1.63555
2012.41615,2.21638,1.61138
2012.41889,1.80812,1.64629
2012.42162,-0.34547,1.58721
2012.42436,0.63460,1.59258
2012.42710,2.27132,1.60332
2012.42984,1.66668,1.59526
2012.43258,1.81268,1.61675
2012.43531,2.80629,1.57512
2012.43805,1.29552,1.57646
2012.44079,0.72935,1.59795
2012.44353,0.58678,1.60600
2012.44626,1.18580,1.61943
2012.44900,1.10139,1.58049
2012.45174,0.66055,1.58586
2012.45448,1.32628,1.59660
2012.45722,2.63755,1.61405
2012.45995,0.85137,1.65836
2012.46269,1.91873,1.60600
2012.46543,0.61662,1.60734
2012.46817,1.13102,1.57377
2012.47091,0.33395,1.60734
2012.47364,1.57437,1.59256
2012.47638,0.48230,1.78187
2012.47912,1.57172,1.59525
2012.48186,-0.12038,1.58988
2012.48459,0.35400,1.60867
2012.48733,1.38785,1.57913
2012.49007,1.53916,1.60867
2012.49281,2.30494,1.61538
2012.49555,1.23916,1.59927
2012.49833,0.27865,1.61270
2012.50102,1.35095,1.59927
2012.50376,3.28949,1.59524
2012.50650,2.15847,1.58987
2012.50924,1.52487,1.63149
2012.51197,1.58968,1.60598
2012.51471,0.12891,1.60866
2012.51745,2.45653,1.58449
2012.52019,1.09159,1.56300
2012.52292,2.57204,1.61134
2012.52566,2.79187,1.57777
2012.52840,1.34610,1.56972
2012.53114,2.27071,1.59791
2012.53388,1.47271,1.60865
2012.53661,1.35108,1.60060
2012.53935,1.32983,1.62208
2012.54209,1.63196,1.56702
2012.54483,1.02845,1.56702
2012.54757,1.36731,1.56702
2012.55030,2.56753,1.60193
2012.55304,-0.26188,1.56836
2012.55578,0.13002,1.57642
2012.55852,0.29736,1.55359
2012.56125,1.31502,1.56701
2012.56399,0.61503,1.57104
2012.56673,1.45039,1.57373
2012.56947,0.37710,1.59118
2012.57221,0.18116,1.57238
2012.57494,1.58557,1.58044
2012.57768,0.17933,1.57775
2012.58042,2.52244,1.74021
2012.58316,1.37289,1.61803
2012.58590,1.03968,1.61131
2012.58858,0.63848,1.62608
2012.59138,1.06021,1.62877
2012.59347,2.63670,2.21407
2012.62434,1.78092,1.98587
2012.62696,1.19667,1.58310
2012.62970,0.49514,1.61532
2012.63244,1.89599,1.67843
2012.63518,1.06621,1.59786
2012.63791,0.49680,1.60458
2012.64065,0.43979,1.87713
2012.64339,0.27715,1.56697
2012.64613,-0.64009,1.56160
2012.64887,1.58206,1.57906
2012.65161,0.62854,1.63008
2012.65434,1.41257,1.61531
2012.65708,1.47394,1.61665
2012.65982,0.54271,1.61799
2012.66256,-0.52009,1.60456
2012.66529,0.38052,1.59248
2012.66803,1.46357,1.59113
2012.67077,-0.57995,1.62202
2012.67351,1.01897,1.57770
2012.67624,2.73134,1.55084
2012.67898,-0.15884,1.58978
2012.68172,1.95144,1.60724
2012.68446,0.51318,1.64081
2012.68720,1.67339,1.63812
2012.68994,2.61599,1.57367
2012.69267,1.87625,1.61126
2012.69541,0.90392,1.62603
2012.69815,2.49709,1.60857
2012.70089,1.05376,1.62066
2012.70362,0.71694,1.59380
2012.70636,0.86465,1.57769
2012.70910,0.62678,1.60051
2012.71184,1.33565,1.60185
2012.71457,0.32796,1.59782
2012.71731,-0.10017,1.58708
2012.72005,0.44326,1.58976
2012.72279,1.60626,1.60051
2012.72553,1.98683,1.59648
2012.72826,2.00899,1.60587
2012.73100,2.28575,1.97106
2012.73374,-0.93189,1.64347
2012.73648,0.51308,1.59513
2012.73921,-1.08032,1.65824
2012.74195,0.89891,1.74685
2012.74469,1.24178,1.62064
2012.74743,0.51019,1.60855
2012.75017,0.61647,1.60318
2012.75290,0.69532,1.62063
2012.75564,3.30985,1.61123
2012.75838,1.82807,1.62600
2012.76112,1.25298,1.56020
2012.76386,0.45361,1.59646
2012.76659,1.54995,1.61660
2012.76933,0.12402,1.61928
2012.77207,1.22484,1.61391
2012.77481,1.53740,1.61794
2012.77754,1.14772,1.61793
2012.78028,1.64581,1.68104
2012.78302,1.68469,1.65956
2012.78576,-0.28876,1.62599
2012.78850,-0.30717,1.68775
2012.79123,1.59711,1.67164
2012.79397,1.70922,1.60987
2012.79671,1.87016,1.63270
2012.79945,1.87095,1.63538
2012.80219,2.70459,1.64344
2012.80493,0.43799,1.64478
2012.80746,0.64155,1.83410
2012.87169,4.93793,3.46880
2012.87337,2.28567,1.60313
2012.87611,1.30567,1.61925
2012.87884,0.80696,1.61656
2013.10335,0.89111,1.61001
2013.10594,1.77401,1.76979
2013.11720,2.95120,1.78054
2013.11978,2.12134,1.67448
2013.12251,2.18879,1.60332
2013.12526,1.90681,1.60601
2013.12799,1.55660,1.59259
2013.13073,1.56094,1.59796
2013.13347,1.75292,1.61005
2013.13618,0.82467,1.60603
2013.13894,0.25973,1.57515
2013.14168,2.59356,1.63020
2013.14442,-0.86800,1.69331
2013.14715,1.88406,1.68794
2013.14992,1.45858,1.57785
2013.15265,0.37287,1.62888
2013.15537,2.57382,1.58591
2013.15811,0.29425,1.62351
2013.16084,-1.00772,1.64634
2013.16358,0.49588,1.63829
2013.16632,-0.19094,1.67051
2013.16906,0.61281,1.63158
2013.17180,1.60812,1.59399
2013.17453,0.52399,1.76987
2013.17727,0.23241,1.65576
2013.18001,0.43038,1.69201
2013.18274,2.57990,1.61415
2013.18548,0.17693,1.60207
2013.18823,1.19448,1.60475
2013.19096,-0.43442,1.61818
2013.19370,1.49818,1.67995
2013.19644,1.88328,1.62490
2013.19917,2.26389,1.63967
2013.20191,0.60298,1.60880
2013.20465,0.64256,1.62491
2013.20737,0.27664,1.65177
2013.21013,0.43414,1.60209
2013.21286,1.36312,1.61284
2013.21560,-0.43144,1.65580
2013.21834,0.55044,1.64238
2013.22108,1.79375,1.63836
2013.22381,0.88550,1.61151
2013.22656,1.38666,1.63165
2013.22927,0.59424,1.75516
2013.23200,-0.10379,1.63568
2013.23475,1.10857,1.62897
2013.23748,1.77732,1.63300
2013.24024,0.56145,1.61824
2013.24298,-0.28706,1.61153
2013.24572,0.01379,1.63167
2013.24846,0.45698,1.65584
2013.25119,0.46251,1.63570
2013.25393,0.41836,1.63570
