T,RESIDUALS,SIG_RESID
2008.64065,0.07973,1.69456
2008.64339,0.28949,1.68866
2008.64613,0.75779,1.79046
2008.64887,-0.21737,1.75358
2008.65160,0.24803,1.70342
2008.65434,0.25097,1.74325
2008.65708,-0.05253,1.77276
2008.65982,1.39453,1.74031
2008.66256,1.09814,1.77424
2008.66529,1.62931,1.76686
2008.66803,1.79004,1.73588
2008.67077,1.18933,1.75359
2008.67351,1.50320,1.76096
2008.67624,1.58363,1.88046
2008.67898,1.04763,1.77424
2008.68172,-0.25779,1.73441
2008.68446,1.12537,1.71376
2008.68720,-0.68589,1.72704
2008.68993,0.50343,1.71376
2008.69267,1.40335,1.77130
2008.69541,1.08086,1.71966
2008.69815,-0.34804,1.78900
2008.70089,1.04467,1.74769
2008.70362,0.38697,1.69901
2008.70636,0.80789,1.71376
2008.70910,2.47442,1.75507
2008.71184,1.37557,1.78458
2008.71457,1.35434,1.72705
2008.71731,1.10273,1.70049
2008.72005,2.28676,1.70787
2008.72279,0.38242,1.68279
2008.72553,1.44272,1.73147
2008.73100,1.19727,1.73443
2008.73374,2.08553,1.75361
2008.73648,2.08744,1.68722
2008.73921,0.29203,1.69607
2008.74195,1.69028,1.69165
2008.74469,1.35922,1.71083
2008.74743,1.20984,1.68870
2008.75017,1.51614,1.70788
2008.75290,-1.39585,1.74328
2008.75564,-1.30415,1.71230
2008.75838,-1.95473,1.72263
2008.76112,1.02239,1.68723
2008.76386,0.74124,1.68428
2008.76659,2.73282,1.75804
2008.76933,1.26612,1.70051
2008.77207,2.62117,1.67838
2008.77481,1.05396,1.67985
2008.77754,1.87151,1.67100
2008.78028,3.19581,1.69018
2008.78302,2.77988,1.66363
2008.78576,1.86773,1.70789
2008.78850,2.99235,1.69904
2008.79123,1.39776,1.72854
2008.79397,1.88497,1.67543
2008.79671,2.29797,1.67986
2008.79945,1.98579,1.66658
2008.80219,2.87142,1.73740
2008.80492,3.84287,1.68134
2008.80766,1.19216,1.68134
2008.81040,4.43128,1.71970
2008.81314,-1.12875,2.58994
2008.81587,2.51207,1.66954
2008.81861,1.99975,1.68577
2008.82135,2.58830,1.67396
2008.82409,1.28873,1.70495
2008.82683,1.25003,1.71232
2008.82956,1.41723,1.70642
2008.83230,1.39533,1.68429
2008.83504,1.99634,1.71527
2008.83778,1.60525,1.71380
2008.84052,1.38009,1.70937
2008.84325,0.44986,1.69610
2008.84599,0.42457,1.68577
