T,RESIDUALS,SIG_RESID
2007.77275,0.56133,2.26416
2007.77549,0.51722,2.17620
2007.77823,-0.25911,2.17994
2007.78097,-1.92266,2.17433
2007.78371,-0.89142,2.17807
2007.78644,-1.67539,2.24170
2007.78918,-2.03557,2.22112
2007.79192,-0.40294,2.26604
2007.79466,-1.01250,2.25106
2007.79739,-2.48025,2.32218
2007.80013,-0.23017,2.24732
2007.80287,1.56473,2.18557
2007.80561,1.54046,2.19680
2007.80835,0.32202,2.22487
2007.81108,2.97443,2.25482
2007.81382,2.28269,2.26792
2007.81656,0.55381,2.30160
2007.81930,1.83079,2.22300
2007.82203,1.37163,2.21926
2007.82477,0.45435,2.22301
2007.82751,0.17094,2.23237
2007.83025,-0.46158,2.21178
2007.83299,1.51680,2.17997
2007.83572,2.50707,2.17997
2007.83846,2.02925,2.17997
2007.84120,0.29033,2.19120
2007.84394,-0.00766,2.19494
2007.84668,0.06626,2.20243
2007.84941,0.43712,2.18746
2007.85215,0.06191,2.24361
2007.85489,-0.07035,2.25484
2007.85763,-1.52067,2.26232
2007.86036,-1.81503,2.25858
2007.86310,1.90557,2.25484
2007.86584,0.69114,2.23238
2007.86858,0.49869,2.20057
2007.87132,1.38121,2.27356
2007.87405,0.70373,2.21742
2007.87679,1.64123,2.20993
2007.87953,0.97874,2.20057
2007.88227,1.19926,2.20806
2007.88501,1.50479,2.19683
2007.88774,0.49334,2.21181
2007.89048,1.01591,2.21742
2007.89322,1.00252,2.24924
2007.89596,0.35317,2.27544
2007.89869,-0.21414,2.20058
2007.90143,1.69461,2.28480
2007.90417,1.74342,2.27170
2007.90691,1.53729,2.22492
2007.90965,1.11623,2.23240
2007.91238,0.00325,2.20620
2007.91512,-0.73364,2.22679
2007.91786,0.73656,2.21744
2007.92060,0.68185,2.28855
2007.92334,-1.01475,2.24551
2007.92607,0.75275,2.22492
2007.92881,1.58238,2.26797
2007.93155,2.23412,2.24177
2007.93429,1.47399,2.24738
2007.93702,2.08700,2.25113
2007.93976,-0.43286,2.24177
2007.94250,2.00644,2.22493
2007.94524,0.88488,2.29043
2007.94798,1.55248,2.25300
2007.95071,0.42025,2.23803
2007.95345,1.54219,2.26049
2007.95619,0.65530,2.25114
2007.95893,-0.22541,2.26798
2007.96167,-0.78993,2.26237
2007.96440,0.38074,2.25114
2007.96714,-0.74639,2.27547
2007.96988,0.20369,2.24178
2007.97262,0.84597,2.29418
2007.97535,1.73147,2.23804
2007.97809,0.36419,2.24740
2007.98083,0.04713,2.21933
2007.98357,0.15830,2.22495
2007.98631,1.19371,2.24740
2007.98904,-0.02364,2.25863
2007.99178,0.50625,2.23618
2007.99452,0.09539,2.22495
2007.99726,2.75279,2.18003
2008.00000,1.58645,2.18565
2008.00273,-0.47463,2.21746
2008.00547,-0.68143,2.15196
2008.00821,-2.32397,2.15571
2008.01095,-1.31623,2.15197
2008.01368,0.03580,2.16507
2008.01642,0.21211,2.15945
2008.01916,0.27872,2.18940
2008.02190,-1.12739,2.19127
2008.02464,-1.24819,2.17256
2008.02737,-0.46669,2.16320
2008.03011,0.13712,2.22309
2008.03285,1.33723,2.15946
2008.03559,0.90366,2.17256
2008.03833,2.87641,2.16694
2008.04106,1.04448,2.18940
2008.04380,-0.81712,2.18379
2008.04654,0.93760,2.21747
2008.04928,0.20265,2.15946
2008.05201,-0.04296,2.16695
2008.05475,-0.16324,2.16320
2008.05749,2.38182,2.14636
2008.06023,1.41823,2.15759
2008.06297,1.21898,2.16133
2008.06570,1.98908,2.15759
2008.06844,0.90953,2.15572
2008.07118,0.48633,2.15946
2008.07392,0.21649,2.17631
2008.07666,1.86300,2.33912
2008.07939,0.56088,2.28298
2008.08213,1.92911,2.18005
2008.08487,1.55571,2.17631
2008.08761,2.36967,2.17444
2008.09034,0.22300,2.18754
2008.09308,2.05070,2.18754
2008.09582,3.97776,2.24930
2008.09856,2.87920,2.22310
2008.10130,1.01601,2.22497
2008.10403,2.77719,2.21000
2008.10677,3.28474,2.17070
2008.10951,2.71467,2.19128
2008.11225,2.28198,2.17631
2008.11498,2.74566,2.17631
2008.11772,3.04972,2.17631
2008.12046,1.58015,2.15760
2008.12320,0.66796,2.23620
2008.12594,0.53615,2.15947
2008.12867,1.93372,2.15573
2008.13141,1.36766,2.17070
2008.13415,-0.03302,2.18754
2008.13689,0.81568,2.17444
2008.13963,0.29076,2.16883
2008.14236,-0.77979,2.17631
2008.14510,-0.26696,2.17444
2008.14784,-1.12776,2.17257
2008.15058,1.17682,2.15573
2008.15331,1.79977,2.15573
2008.15605,2.37209,2.21749
2008.15879,0.98478,2.16134
2008.16153,0.15984,2.17257
2008.16427,0.87027,2.18754
2008.16700,4.00707,2.15386
2008.16974,1.74024,2.23246
2008.17248,0.37476,2.18754
2008.17522,2.68265,2.23807
2008.17796,3.02890,2.19316
2008.18069,2.86551,2.17070
2008.18343,3.03847,2.18942
2008.18617,0.69479,2.18193
2008.18891,0.78345,2.18193
2008.19164,1.75447,2.19129
2008.19438,0.60783,2.18380
2008.19712,0.03254,2.18006
2008.19986,-0.70441,2.19129
2008.20260,0.81498,2.17444
2008.20533,1.90870,2.17070
2008.20807,2.70975,2.26801
2008.21081,2.93013,2.27176
2008.21355,1.41284,2.21749
2008.21629,2.59887,2.22684
2008.21902,2.37422,2.21562
2008.22176,1.89189,2.19129
2008.22450,2.23386,2.23433
2008.22724,2.57915,2.21936
2008.22997,1.75374,2.25304
2008.23271,1.24163,2.23059
2008.23545,0.98581,2.24181
2008.23819,0.86129,2.22684
2008.24093,2.66406,2.16696
2008.24366,1.53711,2.15573
2008.24640,3.14644,2.17444
2008.24914,2.69405,2.15760
2008.25188,0.77893,2.17631
2008.25462,1.67107,2.15011
2008.25735,0.74848,2.17257
2008.26009,1.46714,2.16321
2008.26283,1.12505,2.16321
2008.26557,-0.31378,2.15386
2008.26830,-0.32238,2.14637
2008.27104,-0.31974,2.15760
2008.27378,0.85114,2.16134
2008.27652,0.59524,2.15573
2008.27926,2.00056,2.15386
2008.28199,0.97810,2.15198
2008.28473,0.98585,2.20064
2008.28747,0.68681,2.22497
2008.29021,0.26096,2.21561
2008.29295,0.44932,2.15198
2008.29568,1.49186,2.15198
2008.29842,1.29058,2.14824
2008.30116,0.85648,2.18005
2008.30390,1.68656,2.15760
2008.30663,0.67280,2.18193
2008.30937,0.44720,2.24368
2008.31211,1.69375,2.19503
2008.31485,2.23746,2.14450
2008.31759,2.15531,2.20438
2008.32032,1.54129,2.23620
2008.32306,1.55340,2.20438
2008.32580,1.77264,2.22684
2008.32854,1.91600,2.16134
2008.33128,1.35547,2.17444
2008.33401,0.99404,2.19877
2008.33675,1.58572,2.16508
2008.33949,2.95348,2.17257
2008.34223,1.16034,2.16134
2008.34496,1.18627,2.17818
2008.34770,1.28828,2.20812
2008.35044,0.38836,2.17256
2008.35318,0.79050,2.17818
2008.35592,1.39669,2.15946
2008.35865,1.48493,2.14262
2008.36139,1.15122,2.15011
2008.36413,2.64054,2.15946
2008.36687,1.69489,2.18379
2008.36961,3.47226,2.15572
2008.37234,0.51765,2.14636
2008.37508,0.61305,2.14262
2008.37782,1.29145,2.14823
2008.38056,-0.40315,2.18566
2008.38329,1.87824,2.22309
2008.38603,1.70961,2.14636
2008.38877,-0.01004,2.21560
2008.39151,2.54828,2.25303
2008.39425,0.53657,2.16507
2008.39698,1.34081,2.15010
2008.39972,0.59801,2.14262
2008.40246,2.26115,2.14262
2008.40520,0.96923,2.15572
2008.40794,0.99124,2.15946
2008.41067,2.59818,2.15759
2008.41341,1.84804,2.15197
2008.41615,2.36181,2.13513
2008.41889,2.64248,2.15010
2008.42162,3.15206,2.17443
2008.42436,0.63553,2.15197
2008.42710,1.12389,2.16133
2008.42984,1.64713,2.17256
2008.43258,2.17025,2.26800
2008.43531,2.19124,2.23057
2008.43805,1.45809,2.27361
2008.44079,2.23980,2.15197
2008.44353,5.16336,2.15384
2008.44626,3.23677,2.18378
2008.44900,2.64301,2.15197
2008.45174,3.89409,2.23992
2008.45448,3.08500,2.22495
2008.45722,2.39773,2.14448
2008.45995,2.53128,2.12389
