T,RESIDUALS,SIG_RESID
1997.66461,-0.18154,1.46506
1997.66735,-0.41335,1.45812
1997.67009,0.94745,1.46044
1997.67283,1.13488,1.46623
1997.67556,-0.16106,1.46508
1997.67830,0.86062,1.48360
1997.68104,-0.01606,1.47550
1997.68378,-0.06312,1.46856
1997.68652,-0.02354,1.46972
1997.68925,-1.64932,1.52760
1997.69199,0.77754,1.46509
1997.69473,-0.60896,1.52529
1997.69747,-0.50181,1.49751
1997.70021,-0.09302,1.48478
1997.70294,0.11143,1.51835
1997.70568,-1.20047,1.54266
1997.70842,-0.35371,1.46279
1997.71116,0.64572,1.52993
1997.71389,-1.16220,1.52415
1997.71663,0.49656,1.45121
1997.71937,2.48699,1.51952
1997.72211,0.87510,1.46627
1997.72485,0.92288,1.50795
1997.72758,1.20335,1.51026
1997.73032,-1.68949,1.46743
1997.73306,-0.39163,1.58317
1997.73580,-2.09509,1.55078
1997.73854,2.74917,1.63985
1997.74127,3.34112,1.54499
1997.74401,2.68379,1.51490
1997.74675,-1.91283,1.49870
1997.74949,-0.53173,1.55541
1997.75222,-1.04090,1.52301
1997.75496,-1.93335,1.51606
1997.75770,-1.25106,1.54847
1997.76044,2.69697,1.53690
1997.76318,2.74575,1.49754
1997.76591,-0.37673,1.50912
1997.76865,-0.83045,1.47439
1997.77139,-3.30641,1.49986
1997.77413,-0.03060,1.49755
1997.77687,0.52897,1.51491
1997.77960,0.36132,1.48250
1997.78234,0.02146,1.47208
1997.78508,0.47338,1.53227
1997.78782,1.09910,1.49407
1997.79055,-0.61338,1.53921
1997.79329,-0.95806,1.50333
1997.79603,0.36007,1.48597
1997.79877,0.11903,1.47092
1997.80151,0.77380,1.48134
1997.80424,4.02141,1.51491
1997.80698,1.16285,1.49175
1997.80972,0.71313,1.50564
1997.81246,0.33326,1.49175
1997.81520,0.01424,1.52185
1997.81793,0.38909,1.49059
1997.82067,-0.47920,1.49638
1997.82341,-0.05562,1.48943
1997.82615,-1.86515,1.58549
1997.82888,-3.75780,1.57392
1997.83162,-1.58556,1.49869
1997.83436,0.97159,1.51374
1997.83710,0.91663,1.52300
1997.83984,1.15660,1.55193
1997.84257,-1.69752,1.51605
1997.84531,-3.15772,1.52531
1997.84805,-1.03198,1.54961
1997.85079,0.37870,1.50215
1997.85352,1.36132,1.49984
1997.85626,0.34690,1.48594
1997.85900,-0.33656,1.49983
1997.86174,0.47794,1.56001
1997.86448,-0.61359,1.49057
1997.86721,1.66787,1.48362
1997.86995,-0.33169,1.50098
1997.87269,1.92174,1.49519
1997.87543,3.13817,1.49287
1997.87817,0.93961,1.53570
1997.88090,-1.46394,1.55768
1997.88364,-2.60146,1.53801
1997.88638,0.01804,1.57966
1997.88912,-0.04643,1.55536
1997.89185,-1.18286,1.56462
1997.89459,-1.07923,1.56230
1997.89692,-1.13100,1.95875
1997.95756,-3.50080,1.45920
1997.96030,0.39270,1.48503
1997.96304,2.66761,1.47582
1997.96578,1.85773,1.45740
1997.96851,0.59207,1.46661
1997.97125,1.89364,1.46546
1997.97399,2.20243,1.46431
1997.97673,1.81446,1.50230
1997.97947,1.46272,1.47467
1997.98220,2.59823,1.50230
1997.98494,2.35899,1.50115
1997.98768,2.73501,1.50460
1997.99316,2.42383,1.48964
1997.99589,3.80464,1.48849
1997.99863,2.13273,1.47352
1998.00411,0.45074,1.49194
1998.00684,1.31868,1.51497
1998.00958,1.26092,1.46546
1998.01232,-0.26755,1.48964
1998.01506,1.88029,1.49194
1998.01780,0.55843,1.51497
1998.02053,2.84888,1.51497
1998.02327,3.14965,1.48964
1998.02601,1.07274,1.46431
1998.02875,3.40316,1.54030
1998.03149,2.97689,1.57484
1998.03422,2.84396,1.51382
1998.03696,2.38737,1.57944
1998.03970,0.24511,1.51843
