T,RESIDUALS,SIG_RESID
1999.82204,-2.78382,1.88761
1999.82478,-1.84858,1.88237
1999.82752,-1.96150,1.76972
1999.83025,-2.16257,1.95965
1999.83299,-0.51279,1.77365
1999.83573,-1.24814,1.75401
1999.83847,-3.21163,1.80509
1999.84120,0.11976,1.81557
1999.84394,-1.98997,1.80247
1999.84668,-1.15881,1.83129
1999.84888,-3.76667,2.36699
1999.85769,-4.22484,1.78413
1999.86037,-0.00343,1.79985
1999.86311,-3.42279,1.80509
1999.86585,-2.29821,1.78544
1999.86858,-4.05969,1.75270
1999.87132,-2.48922,1.75008
1999.87406,-4.34578,1.81033
1999.87680,-3.57538,1.74091
1999.87953,-2.67401,1.75532
1999.88227,-3.26666,1.77234
1999.88501,-4.03732,1.76579
1999.88775,-4.73799,1.81557
1999.89049,-2.28065,1.74615
1999.89322,-1.79431,1.82998
1999.89596,-1.05095,1.92036
1999.89870,-1.07257,1.84832
1999.90144,-1.92515,1.84308
1999.90418,-2.45970,1.73305
1999.90691,-0.70621,1.75794
1999.90965,-0.09367,1.78413
1999.91239,-0.12106,1.80509
1999.91513,-2.84140,1.83522
1999.91786,-1.93666,1.79330
1999.92060,0.81016,1.74877
1999.92334,-0.28393,1.84832
1999.92608,-0.39893,1.74091
1999.92882,1.04317,1.80378
1999.93155,-0.43863,1.79330
1999.93429,-3.70231,1.90202
1999.93703,-2.07487,1.82998
1999.93977,-1.30030,1.76187
1999.94251,-1.04060,1.77104
1999.94524,-2.45275,1.78414
1999.94798,-0.32576,1.84308
1999.95072,-1.06762,1.82998
1999.95346,-0.54031,1.78283
1999.95619,0.28216,1.78938
1999.95893,-0.91619,1.93346
1999.96167,-1.15537,1.87059
1999.96441,0.99765,1.75139
1999.96715,0.37585,1.78545
1999.96988,0.37826,1.88893
1999.97262,-0.68513,1.81164
1999.97536,-1.26231,1.83915
1999.97810,-0.10227,1.76973
1999.98084,-2.77200,1.70292
1999.98357,1.03949,1.71209
1999.98905,-0.99181,1.78545
1999.99179,-1.38760,1.76449
1999.99452,-2.12813,1.71733
1999.99726,0.06260,1.76318
2000.07131,-0.88576,1.77105
2000.07392,0.64390,1.75664
2000.07666,-0.73784,1.82606
2000.07940,-1.56819,1.75926
2000.08214,0.29884,1.71210
2000.08487,0.72226,1.75533
2000.08761,0.59408,1.72389
2000.09035,-1.04772,1.74747
2000.09309,1.40788,1.67674
2000.09582,-0.40812,1.74747
2000.09803,1.42690,2.25437
2000.10680,0.26581,1.65054
2000.10951,-0.21209,1.68198
2000.11225,-1.55366,1.64006
2000.11499,-1.03183,1.66626
2000.11773,-2.64159,1.65578
2000.12047,-0.54394,1.69639
2000.12320,1.41512,1.70294
2000.12594,0.67460,1.69246
2000.12868,-1.60552,1.63089
2000.13142,0.23478,1.63744
2000.13415,-0.62950,1.65447
2000.13589,0.29246,3.74863
2000.14344,-4.51152,3.97911
2000.14480,-2.25479,1.94265
2000.17266,-1.33538,1.78285
2000.17522,-2.33336,1.69902
2000.17796,-1.56409,1.73046
2000.18070,0.86958,1.73046
2000.18344,-0.83935,1.72391
2000.18617,-1.50289,1.69247
2000.18891,1.00997,1.74487
2000.19165,0.05922,1.70819
2000.19439,1.26486,1.71474
2000.19713,-0.41411,1.72260
2000.19986,-2.03870,1.75797
2000.20260,-1.80690,1.71081
2000.20534,-1.12973,1.75404
2000.20808,-0.19618,1.72522
2000.21081,-0.94826,1.73177
2000.21355,-2.35396,1.75011
2000.21629,-2.66630,1.72915
2000.21903,1.75972,1.70819
2000.22177,-0.98190,1.71867
2000.22450,-0.00916,1.75797
2000.22724,0.34794,1.70819
2000.22998,1.57238,1.66890
2000.23272,0.46717,1.77631
