T,RESIDUALS,SIG_RESID
1999.87406,0.35608,4.17224
1999.87680,1.98351,3.94643
1999.87953,2.67382,3.97122
1999.88227,1.56804,4.02905
1999.88501,-1.41785,3.97122
1999.88775,2.27418,4.09514
1999.89049,1.78612,3.88035
1999.89322,2.01099,4.15848
1999.89596,3.40279,4.33472
1999.89870,2.67354,4.19979
1999.90144,2.79723,4.17225
1999.90418,1.63788,3.99326
1999.90691,4.61950,4.07587
1999.90965,3.05209,4.06486
1999.91239,2.88666,4.07312
1999.91513,-1.09178,4.11718
1999.91786,1.77178,4.14196
1999.92060,5.81834,3.94369
1999.92334,3.86191,4.23284
1999.92608,4.59851,3.93543
1999.92882,2.14313,4.19704
1999.93155,5.02779,4.04008
1999.93429,1.42649,4.36777
1999.93703,1.89625,4.19704
1999.93977,0.34107,3.98776
1999.94251,3.03595,4.08414
1999.94524,1.45591,4.19980
1999.94798,3.82996,4.24937
1999.95072,1.45910,4.36502
1999.95346,4.03333,4.07313
1999.95619,4.21567,4.05386
1999.95893,1.88113,4.38981
1999.96167,0.91771,4.42836
1999.96441,4.45542,4.11995
1999.96715,0.75727,4.21633
1999.96988,3.15826,4.12546
1999.97262,2.87241,4.08966
1999.97536,2.45871,4.31822
1999.97810,2.31518,4.01531
1999.98084,0.22283,3.94096
1999.98357,3.37466,3.88313
1999.98905,2.23190,4.06213
1999.99179,3.57132,3.99053
1999.99452,2.50095,3.94372
1999.99726,3.39380,4.04010
2000.00274,-0.02582,4.09242
2000.00496,2.04579,5.11675
2000.01652,1.25039,4.08967
2000.01916,1.03426,3.96851
2000.02190,0.21938,3.79226
2000.02464,0.82678,3.91343
2000.02738,4.37347,3.95474
2000.03012,2.91846,4.25489
2000.03285,1.71375,4.04837
2000.03559,2.10435,4.13924
2000.03833,1.59426,4.09243
2000.04107,0.78150,4.06765
2000.04381,3.22206,4.02634
2000.04654,3.36595,3.94097
2000.04928,2.08218,4.11446
2000.05202,5.03875,3.96301
2000.05476,1.70966,4.05663
2000.05749,2.63794,4.17780
2000.06023,2.07057,4.21635
2000.06297,1.93056,3.90242
2000.06571,4.21892,3.94098
2000.06845,2.28565,4.00982
2000.07118,3.14576,3.97127
2000.07392,3.95825,4.03736
2000.07666,2.42613,4.13374
2000.07940,2.35039,4.08693
2000.08214,3.50305,4.11171
2000.08487,3.40011,3.94649
2000.08761,3.72658,4.02910
2000.09035,2.80444,4.00707
2000.09309,5.08072,3.90243
2000.09582,1.51941,3.99055
2000.09856,3.98952,3.79228
2000.10130,4.58605,3.88591
2000.10404,4.72200,3.85837
2000.10678,3.55938,3.76750
2000.10951,3.07819,4.00432
2000.11225,1.40243,3.84736
2000.11499,2.85211,3.92997
2000.11773,-0.24778,3.88867
2000.12047,3.35978,3.89142
2000.12320,4.27777,3.88316
2000.12594,5.20022,3.78678
2000.12868,2.36210,3.86664
2000.13142,4.13644,3.79504
2000.13415,3.07723,3.94650
2000.13689,1.35547,3.96853
2000.13963,0.19916,4.05665
2000.14237,1.61030,3.96302
2000.14511,0.26691,4.07042
2000.14784,0.10397,3.99882
2000.15058,2.10949,3.93273
2000.15332,1.64847,4.05665
2000.15606,0.13990,4.04563
2000.15880,0.83180,4.01259
2000.16153,1.13016,4.08143
2000.16427,2.96798,4.00708
2000.16701,2.31026,4.14477
2000.16975,2.92501,4.19158
2000.17248,2.16521,4.10071
2000.17522,1.28288,4.00984
2000.17796,0.62800,4.16680
2000.18070,3.68859,4.00984
2000.18344,1.76163,4.09245
2000.18617,0.98114,4.11723
2000.18891,5.03010,4.13100
2000.19165,3.51952,4.10897
2000.19439,4.08339,4.21912
2000.19713,1.86872,4.11723
2000.19986,1.89250,4.37332
2000.20260,0.98273,4.11448
2000.20534,1.44141,4.13651
2000.20808,3.73354,3.99607
2000.21081,1.79911,4.04289
2000.21355,-0.38487,4.03738
2000.21629,0.27459,4.16680
2000.21903,4.14148,4.04289
2000.22177,1.86482,3.99607
2000.22450,2.81458,4.22738
2000.22724,3.04578,4.04289
2000.22998,4.41941,3.91346
2000.23272,3.13146,4.05390
2000.23546,4.46093,4.13376
2000.23819,4.08282,3.92723
2000.24093,4.17012,3.99883
2000.24367,6.79384,3.90795
2000.24641,1.71996,4.03187
2000.24914,4.00749,4.24391
2000.25188,0.12742,4.08695
2000.25462,0.78874,3.93274
2000.25736,3.81146,3.80882
2000.26010,2.64756,3.85563
2000.26283,3.56605,3.80056
2000.26557,3.87091,3.85563
2000.26831,2.54015,4.10898
2000.27105,-4.44224,3.88317
2000.27379,3.31474,3.84462
2000.27652,2.38507,3.83636
2000.27926,5.14676,3.86665
2000.28200,0.23080,3.89694
2000.28474,1.80218,3.85288
2000.28747,1.51591,3.92172
2000.29021,0.96196,3.88592
2000.29295,1.40335,3.84462
2000.29569,2.27106,3.80056
2000.29843,1.45208,3.95201
2000.30116,0.85541,3.85563
2000.30390,0.34205,3.93549
2000.30664,-0.02501,3.80882
2000.30938,1.04523,3.82809
2000.31211,0.69575,3.94651
2000.31485,-0.78445,3.94375
2000.31759,-0.10138,4.21362
2000.32033,0.97296,3.93274
2000.32307,-1.75043,3.90795
2000.32580,2.47142,3.85838
2000.32854,1.40753,3.88317
2000.33128,0.62588,4.05115
2000.33402,-0.36154,4.04289
2000.33676,1.42327,4.17506
2000.33949,-1.35270,4.02912
2000.34223,0.37755,3.91071
2000.34497,1.41800,3.88592
2000.34771,0.63165,3.92723
2000.35044,0.04650,3.97680
2000.35318,1.90653,3.92998
2000.35592,-0.10927,3.99056
2000.35866,1.38211,3.95201
2000.36140,1.12965,4.02636
2000.36413,1.65735,3.96853
2000.36687,3.17819,4.11723
2000.36961,0.90918,4.01259
2000.37235,-0.47170,4.05941
2000.37509,-2.20646,3.98505
2000.37782,-0.40810,3.96853
2000.38056,0.73637,3.95752
2000.38330,2.56595,3.93549
2000.38604,0.22262,4.03462
2000.38877,1.31637,4.16404
2000.39151,2.31721,4.01534
2000.39425,1.29811,3.97404
2000.39699,-0.31692,3.90795
2000.39973,1.07011,3.92447
2000.40246,0.87218,4.10346
2000.40520,1.71130,3.93824
2000.40794,0.12144,3.83359
2000.41068,-0.78539,3.81707
2000.41342,0.06179,3.86939
2000.41615,-0.65701,3.89417
2000.41889,1.07018,4.04838
2000.42163,0.23936,3.88040
2000.42437,0.60853,3.86388
2000.42710,1.53468,4.01258
2000.42984,1.15979,3.98505
2000.43258,1.57487,3.92997
2000.43532,0.52489,3.87765
2000.43806,-0.00614,3.84460
2000.44079,-0.47723,3.84460
2000.44353,0.94561,3.82532
2000.44627,-0.06663,3.76198
2000.44901,0.03904,3.86388
2000.45175,-0.43038,3.93547
2000.45448,-0.06091,3.91895
2000.45722,-0.21354,3.93547
2000.45996,-0.44030,3.76198
2000.46270,0.41683,3.92996
2000.46543,1.90082,3.90518
2000.46817,-0.87633,3.96025
2000.47091,0.51037,3.88866
2000.47365,0.08191,3.96851
2000.47639,-0.83671,4.00707
2000.47912,-1.16049,3.88865
2000.48186,1.59454,3.92721
2000.48460,1.63239,3.97402
2000.48734,0.85705,4.00706
2000.49008,1.80951,3.94648
2000.49281,-1.01924,3.93271
2000.49555,0.64779,3.95749
2000.49829,0.41461,4.00155
2000.50103,0.33820,3.91068
2000.50376,0.04956,4.05387
2000.50650,0.52967,4.07040
2000.50924,-0.59746,3.94372
2000.51198,-0.97885,3.91343
2000.51472,-1.59850,4.11721
2000.51745,-2.68242,4.06764
2000.52019,0.31439,4.04010
2000.52293,-0.31808,3.96299
2000.52567,-1.96684,4.00981
2000.52841,-0.39089,4.03735
2000.53114,2.29675,3.96575
2000.53388,1.82910,4.02633
2000.53662,-1.76387,4.04285
2000.53936,1.38985,4.02908
2000.54209,0.58124,4.01256
2000.54483,-0.19569,3.96299
2000.54757,1.74604,4.12546
2000.55031,0.43344,3.97676
2000.55305,1.63949,3.97676
2000.55578,1.23119,4.11720
2000.55852,1.71553,4.11995
2000.56126,-0.17848,3.99603
2000.56400,1.73814,3.99052
2000.56674,2.17139,4.02357
2000.56947,-0.14074,4.10067
2000.57221,2.00376,4.33473
2000.57495,1.09988,4.15024
2000.57769,0.58260,3.95472
2000.58042,1.33694,3.98776
2000.58316,3.65088,4.28792
2000.58590,1.54042,4.13371
2000.58864,2.50656,4.14197
2000.59138,3.59028,4.19705
2000.59411,1.60360,4.18328
2000.59685,2.20850,4.13096
2000.59959,1.81099,4.04284
2000.60233,0.89105,3.93544
2000.60507,2.24669,4.33748
2000.60780,3.80690,4.29067
2000.61054,2.20468,4.15298
2000.61328,1.98202,4.15298
2000.61602,2.16093,4.08139
2000.61875,2.16840,4.08414
2000.62149,1.30843,4.03457
2000.62423,2.10402,4.04559
2000.62697,1.20816,4.13921
2000.62971,2.41386,4.08964
2000.63244,3.22010,3.94369
2000.63518,2.89789,4.10066
2000.63792,-1.17676,3.95746
2000.64066,-1.33988,4.13646
2000.64339,-0.66545,3.92166
2000.64613,1.63853,4.32371
2000.64887,1.30605,4.09790
2000.65161,-0.15489,4.19979
2000.65435,0.74571,4.15298
2000.65708,1.13184,4.23559
2000.65982,3.31152,4.25486
2000.66256,-1.07126,4.19704
2000.66530,0.69650,4.06486
2000.66804,-0.36321,4.12819
2000.67077,-0.57837,4.12544
2000.67351,0.85100,4.08964
2000.67625,0.57391,4.08138
2000.67899,-0.49064,4.19428
2000.68172,2.00736,4.18051
2000.68446,0.09389,4.39805
2000.68720,-0.35004,4.39530
2000.68994,-0.59742,4.46965
2000.69268,-0.17726,4.54675
2000.69541,1.40145,4.21906
2000.69815,2.53770,4.26037
2000.70089,1.78650,4.25211
2000.70363,4.28385,4.49718
2000.70637,2.78075,4.11717
2000.70910,1.22720,4.21080
2000.71184,1.75921,4.21355
2000.71458,-0.30822,4.27138
2000.71732,1.33991,4.14471
2000.72005,0.91060,4.13645
2000.72279,0.59785,4.14196
2000.72553,2.07067,4.14747
2000.72827,1.62206,4.19703
2000.73101,2.65203,4.04833
2000.73374,4.01057,4.07862
2000.73648,2.85769,4.14196
2000.73922,0.13940,4.23008
2000.74196,3.25669,4.17776
2000.74470,1.62757,4.07036
2000.74743,0.82104,4.04283
2000.75017,-1.11989,4.21356
2000.75291,1.03879,4.12544
2000.75565,1.86606,4.13921
2000.75838,-0.30605,3.96847
2000.76112,-1.34755,4.04007
2000.76386,1.43657,3.94644
2000.76660,1.37632,3.83629
2000.76934,2.14269,3.95746
2000.77207,0.71369,4.03181
2000.77481,-0.60967,3.99601
2000.77755,-1.42239,3.93818
