Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.,Time
1925,2,0.184,0.015,0.032,-0.002,1925.166667
1925,3,-0.073,0.015,0.032,-0.002,1925.25
1925,4,0.054,0.015,0.032,-0.002,1925.333333
1925,5,0.114,0.015,0.032,-0.002,1925.416667
1925,6,0.099,0.015,0.032,-0.002,1925.5
1925,7,0.071,0.015,0.032,-0.002,1925.583333
1925,8,0.035,0.015,0.032,-0.002,1925.666667
1925,9,0.06,0.015,0.032,-0.002,1925.75
1925,10,-0.05,0.015,0.032,-0.002,1925.833333
1925,11,-0.045,0.015,0.032,-0.002,1925.916667
1925,12,-0.036,0.015,0.032,-0.002,1926
1926,1,-0.078,0.015,0.032,-0.002,1926.083333
1926,2,0.141,0.015,0.032,-0.002,1926.166667
1926,3,-0.098,0.015,0.032,-0.002,1926.25
1926,4,-0.019,0.015,0.031,-0.002,1926.333333
1926,5,0.065,0.015,0.031,-0.002,1926.416667
1926,6,-0.121,0.015,0.031,-0.002,1926.5
1926,7,-0.046,0.015,0.031,-0.002,1926.583333
1926,8,-0.008,0.015,0.031,-0.002,1926.666667
1926,9,0.002,0.015,0.031,-0.002,1926.75
1926,10,0.068,0.015,0.031,-0.002,1926.833333
1926,11,0.12,0.015,0.031,-0.002,1926.916667
1926,12,0.001,0.015,0.031,-0.002,1927
1927,1,0.062,0.015,0.031,-0.002,1927.083333
1927,2,0.193,0.015,0.031,-0.002,1927.166667
1927,3,-0.055,0.015,0.031,-0.002,1927.25
1927,4,-0.016,0.015,0.031,-0.002,1927.333333
1927,5,0.068,0.015,0.031,-0.002,1927.416667
1927,6,0.163,0.015,0.031,-0.002,1927.5
1927,7,0.126,0.015,0.031,-0.002,1927.583333
1927,8,0.081,0.015,0.031,-0.002,1927.666667
1927,9,0.111,0.015,0.031,-0.002,1927.75
1927,10,0.145,0.015,0.031,-0.002,1927.833333
1927,11,0.19,0.015,0.031,-0.002,1927.916667
1927,12,0.01,0.015,0.031,-0.002,1928
1928,1,0.013,0.015,0.031,-0.002,1928.083333
1928,2,-0.085,0.015,0.031,-0.002,1928.166667
1928,3,0.11,0.015,0.031,-0.002,1928.25
1928,4,0.139,0.014,0.031,-0.002,1928.333333
1928,5,0.09,0.014,0.031,-0.002,1928.416667
1928,6,0.105,0.014,0.031,-0.002,1928.5
1928,7,0.092,0.014,0.031,-0.002,1928.583333
1928,8,0.02,0.014,0.031,-0.002,1928.666667
1928,9,-0.026,0.014,0.031,-0.002,1928.75
1928,10,-0.017,0.014,0.03,-0.002,1928.833333
1928,11,-0.027,0.014,0.03,-0.002,1928.916667
1928,12,-0.061,0.014,0.03,-0.002,1929
1929,1,-0.185,0.014,0.03,-0.002,1929.083333
1929,2,-0.252,0.014,0.03,-0.002,1929.166667
1929,3,-0.128,0.014,0.03,-0.002,1929.25
1929,4,-0.013,0.014,0.03,-0.002,1929.333333
1929,5,-0.093,0.014,0.03,-0.002,1929.416667
1929,6,0.099,0.014,0.03,-0.002,1929.5
1929,7,0.038,0.014,0.03,-0.002,1929.583333
1929,8,0.008,0.014,0.03,-0.002,1929.666667
1929,9,-0.032,0.014,0.03,-0.002,1929.75
1929,10,-0.047,0.014,0.03,-0.002,1929.833333
1929,11,-0.286,0.014,0.03,-0.002,1929.916667
1929,12,-0.11,0.014,0.03,-0.002,1930
1930,1,-0.234,0.014,0.03,-0.002,1930.083333
1930,2,0.053,0.014,0.03,-0.002,1930.166667
1930,3,-0.128,0.014,0.03,-0.001,1930.25
1930,4,0.033,0.014,0.03,-0.001,1930.333333
1930,5,0.004,0.014,0.03,-0.001,1930.416667
1930,6,0.001,0.014,0.03,-0.001,1930.5
1930,7,-0.027,0.014,0.03,-0.001,1930.583333
1930,8,0.056,0.014,0.03,-0.001,1930.666667
1930,9,0.041,0.014,0.03,-0.001,1930.75
1930,10,-0.023,0.014,0.03,-0.001,1930.833333
1930,11,-0.072,0.014,0.03,-0.001,1930.916667
1930,12,-0.143,0.014,0.03,-0.001,1931
1931,1,0.007,0.014,0.03,-0.001,1931.083333
1931,2,-0.042,0.014,0.03,-0.001,1931.166667
1931,3,-0.058,0.014,0.029,-0.001,1931.25
1931,4,0.014,0.014,0.029,-0.001,1931.333333
1931,5,-0.032,0.014,0.029,-0.001,1931.416667
1931,6,0.053,0.014,0.029,-0.001,1931.5
1931,7,-0.024,0.014,0.029,-0.001,1931.583333
1931,8,-0.044,0.014,0.029,-0.001,1931.666667
1931,9,0.035,0.014,0.029,-0.001,1931.75
1931,10,-0.017,0.014,0.029,-0.001,1931.833333
1931,11,-0.069,0.014,0.029,-0.001,1931.916667
1931,12,0.044,0.014,0.029,-0.001,1932
1932,1,-0.048,0.014,0.029,-0.001,1932.083333
1932,2,-0.088,0.014,0.029,-0.001,1932.166667
1932,3,0.055,0.014,0.029,-0.001,1932.25
1932,4,0.173,0.014,0.029,-0.001,1932.333333
1932,5,0.126,0.014,0.029,-0.001,1932.416667
1932,6,0.068,0.014,0.029,-0.001,1932.5
1932,7,0.105,0.014,0.029,-0.001,1932.583333
1932,8,0.035,0.014,0.029,-0.001,1932.666667
1932,9,-0.065,0.014,0.029,-0.001,1932.75
1932,10,-0.044,0.014,0.029,-0.001,1932.833333
1932,11,0.059,0.014,0.029,-0.001,1932.916667
1932,12,-0.027,0.014,0.029,-0.001,1933
1933,1,0.068,0.014,0.029,-0.001,1933.083333
1933,2,-0.112,0.014,0.029,-0.001,1933.166667
1933,3,0.046,0.014,0.029,-0.001,1933.25
1933,4,-0.092,0.014,0.029,-0.001,1933.333333
1933,5,0.129,0.014,0.029,-0.001,1933.416667
1933,6,0.19,0.014,0.029,-0.001,1933.5
1933,7,0.108,0.014,0.029,-0.001,1933.583333
1933,8,0.053,0.014,0.029,-0.001,1933.666667
1933,9,0.114,0.014,0.028,-0.001,1933.75
1933,10,-0.035,0.014,0.028,-0.001,1933.833333
1933,11,-0.127,0.014,0.028,-0.001,1933.916667
