"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2010/01/01","00:00","3.923","-","4.69"
"2010/01/01","01:00","1.622","-","2.56"
"2010/01/01","02:00","-0.197","-","0.76"
"2010/01/01","03:00","-1.255","-","-0.42"
"2010/01/01","04:00","-1.242","-","-0.8"
"2010/01/01","05:00","-0.085","-","0.3"
"2010/01/01","06:00","1.89","-","2.49"
"2010/01/01","07:00","4.187","-","4.75"
"2010/01/01","08:00","6.327","-","6.85"
"2010/01/01","09:00","7.833","-","8.29"
"2010/01/01","10:00","8.334","-","8.93"
"2010/01/01","11:00","7.791","-","8.42"
"2010/01/01","12:00","6.538","-","7.19"
"2010/01/01","13:00","5.081","-","5.67"
"2010/01/01","14:00","3.851","-","4.45"
"2010/01/01","15:00","3.184","-","3.84"
"2010/01/01","16:00","3.399","-","4.34"
"2010/01/01","17:00","4.614","-","5.8"
"2010/01/01","18:00","6.498","-","7.77"
"2010/01/01","19:00","8.44","-","9.72"
"2010/01/01","20:00","9.896","-","11.14"
"2010/01/01","21:00","10.475","-","11.68"
"2010/01/01","22:00","9.932","-","11.13"
"2010/01/01","23:00","8.298","-","9.26"
"2010/01/02","00:00","5.933","-","7.02"
"2010/01/02","01:00","3.375","-","4.66"
"2010/01/02","02:00","1.082","-","2.58"
"2010/01/02","03:00","-0.638","-","0.92"
"2010/01/02","04:00","-1.477","-","-0.23"
"2010/01/02","05:00","-1.138","-","-0.41"
"2010/01/02","06:00","0.355","-","1.02"
"2010/01/02","07:00","2.577","-","3.31"
"2010/01/02","08:00","4.981","-","5.69"
"2010/01/02","09:00","7.065","-","7.7"
"2010/01/02","10:00","8.362","-","8.85"
"2010/01/02","11:00","8.566","-","9.09"
"2010/01/02","12:00","7.728","-","8.23"
"2010/01/02","13:00","6.249","-","6.71"
"2010/01/02","14:00","4.652","-","5.04"
"2010/01/02","15:00","3.368","-","3.71"
"2010/01/02","16:00","2.747","-","3"
"2010/01/02","17:00","3.109","-","3.49"
"2010/01/02","18:00","4.5","-","5.03"
"2010/01/02","19:00","6.498","-","7.13"
"2010/01/02","20:00","8.455","-","9"
"2010/01/02","21:00","9.838","-","10.32"
"2010/01/02","22:00","10.275","-","10.73"
"2010/01/02","23:00","9.561","-","9.77"
"2010/01/03","00:00","7.786","-","7.7"
"2010/01/03","01:00","5.36","-","5.38"
"2010/01/03","02:00","2.834","-","3.25"
"2010/01/03","03:00","0.657","-","1.42"
"2010/01/03","04:00","-0.853","-","0"
"2010/01/03","05:00","-1.376","-","-0.84"
"2010/01/03","06:00","-0.668","-","-0.56"
"2010/01/03","07:00","1.128","-","1.31"
"2010/01/03","08:00","3.501","-","3.53"
"2010/01/03","09:00","5.883","-","5.8"
"2010/01/03","10:00","7.787","-","7.65"
"2010/01/03","11:00","8.789","-","8.73"
"2010/01/03","12:00","8.658","-","8.64"
"2010/01/03","13:00","7.53","-","7.52"
"2010/01/03","14:00","5.855","-","5.83"
"2010/01/03","15:00","4.165","-","4.12"
"2010/01/03","16:00","2.878","-","2.83"
"2010/01/03","17:00","2.347","-","2.28"
"2010/01/03","18:00","2.858","-","2.97"
"2010/01/03","19:00","4.37","-","4.6"
"2010/01/03","20:00","6.384","-","6.58"
"2010/01/03","21:00","8.261","-","8.41"
"2010/01/03","22:00","9.51","-","9.64"
"2010/01/03","23:00","9.799","-","9.96"
"2010/01/04","00:00","8.963","-","9.01"
"2010/01/04","01:00","7.136","-","7.04"
"2010/01/04","02:00","4.758","-","4.75"
"2010/01/04","03:00","2.38","-","2.73"
"2010/01/04","04:00","0.438","-","1.08"
"2010/01/04","05:00","-0.759","-","-0.13"
"2010/01/04","06:00","-0.906","-","-0.6"
"2010/01/04","07:00","0.153","-","0.19"
"2010/01/04","08:00","2.159","-","2.21"
"2010/01/04","09:00","4.55","-","4.4"
"2010/01/04","10:00","6.782","-","6.56"
"2010/01/04","11:00","8.414","-","8.14"
"2010/01/04","12:00","9.074","-","8.97"
"2010/01/04","13:00","8.611","-","8.67"
"2010/01/04","14:00","7.231","-","7.39"
"2010/01/04","15:00","5.422","-","5.65"
"2010/01/04","16:00","3.704","-","3.94"
"2010/01/04","17:00","2.469","-","2.75"
"2010/01/04","18:00","2.043","-","2.34"
"2010/01/04","19:00","2.659","-","3.05"
"2010/01/04","20:00","4.19","-","4.6"
"2010/01/04","21:00","6.107","-","6.5"
"2010/01/04","22:00","7.822","-","8.29"
"2010/01/04","23:00","8.914","-","9.36"
"2010/01/05","00:00","9.089","-","9.56"
"2010/01/05","01:00","8.211","-","8.58"
"2010/01/05","02:00","6.441","-","6.69"
"2010/01/05","03:00","4.233","-","4.58"
"2010/01/05","04:00","2.124","-","2.73"
"2010/01/05","05:00","0.515","-","1.28"
"2010/01/05","06:00","-0.311","-","0.35"
"2010/01/05","07:00","-0.094","-","0.32"
"2010/01/05","08:00","1.228","-","1.63"
"2010/01/05","09:00","3.308","-","3.58"
"2010/01/05","10:00","5.582","-","5.82"
"2010/01/05","11:00","7.567","-","7.78"
"2010/01/05","12:00","8.877","-","9.15"
"2010/01/05","13:00","9.198","-","9.55"
"2010/01/05","14:00","8.446","-","8.92"
"2010/01/05","15:00","6.888","-","7.41"
"2010/01/05","16:00","5.029","-","5.6"
"2010/01/05","17:00","3.351","-","3.94"
"2010/01/05","18:00","2.195","-","2.7"
"2010/01/05","19:00","1.845","-","2.18"
"2010/01/05","20:00","2.478","-","2.74"
"2010/01/05","21:00","3.912","-","4.19"
"2010/01/05","22:00","5.636","-","5.88"
"2010/01/05","23:00","7.153","-","7.42"
"2010/01/06","00:00","8.114","-","8.35"
"2010/01/06","01:00","8.249","-","8.49"
"2010/01/06","02:00","7.431","-","7.61"
"2010/01/06","03:00","5.835","-","5.89"
"2010/01/06","04:00","3.911","-","4.09"
"2010/01/06","05:00","2.159","-","2.5"
"2010/01/06","06:00","0.926","-","1.31"
"2010/01/06","07:00","0.451","-","0.7"
"2010/01/06","08:00","0.945","-","1.17"
"2010/01/06","09:00","2.393","-","2.69"
"2010/01/06","10:00","4.406","-","4.62"
"2010/01/06","11:00","6.462","-","6.64"
"2010/01/06","12:00","8.154","-","8.35"
