"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2006/01/01","00:00","2.321","-","4.08"
"2006/01/01","01:00","-0.024","-","1.55"
"2006/01/01","02:00","-1.504","-","-0.08"
"2006/01/01","03:00","-1.79","-","-0.59"
"2006/01/01","04:00","-0.943","-","0.22"
"2006/01/01","05:00","0.731","-","1.87"
"2006/01/01","06:00","2.85","-","3.99"
"2006/01/01","07:00","5.009","-","6.11"
"2006/01/01","08:00","6.803","-","8.01"
"2006/01/01","09:00","7.853","-","9.11"
"2006/01/01","10:00","7.951","-","9.12"
"2006/01/01","11:00","7.235","-","8.55"
"2006/01/01","12:00","6.067","-","7.54"
"2006/01/01","13:00","4.846","-","6.38"
"2006/01/01","14:00","4.027","-","5.87"
"2006/01/01","15:00","4","-","5.71"
"2006/01/01","16:00","4.813","-","6.26"
"2006/01/01","17:00","6.198","-","7.85"
"2006/01/01","18:00","7.785","-","9.47"
"2006/01/01","19:00","9.199","-","10.81"
"2006/01/01","20:00","10.08","-","11.5"
"2006/01/01","21:00","10.092","-","11.57"
"2006/01/01","22:00","9.018","-","10.56"
"2006/01/01","23:00","6.963","-","8.82"
"2006/01/02","00:00","4.35","-","6.5"
"2006/01/02","01:00","1.682","-","4.05"
"2006/01/02","02:00","-0.515","-","1.84"
"2006/01/02","03:00","-1.718","-","0.36"
"2006/01/02","04:00","-1.674","-","0.14"
"2006/01/02","05:00","-0.54","-","1.22"
"2006/01/02","06:00","1.329","-","2.94"
"2006/01/02","07:00","3.544","-","5.03"
"2006/01/02","08:00","5.693","-","7.13"
"2006/01/02","09:00","7.358","-","8.75"
"2006/01/02","10:00","8.169","-","9.57"
"2006/01/02","11:00","7.988","-","9.31"
"2006/01/02","12:00","7.036","-","8.34"
"2006/01/02","13:00","5.706","-","7.1"
"2006/01/02","14:00","4.421","-","5.86"
"2006/01/02","15:00","3.658","-","5.04"
"2006/01/02","16:00","3.76","-","4.88"
"2006/01/02","17:00","4.688","-","5.63"
"2006/01/02","18:00","6.125","-","6.93"
"2006/01/02","19:00","7.708","-","8.5"
"2006/01/02","20:00","9.066","-","9.97"
"2006/01/02","21:00","9.833","-","10.81"
"2006/01/02","22:00","9.677","-","10.49"
"2006/01/02","23:00","8.438","-","9.21"
"2006/01/03","00:00","6.304","-","7.24"
"2006/01/03","01:00","3.731","-","4.88"
"2006/01/03","02:00","1.22","-","2.36"
"2006/01/03","03:00","-0.699","-","0.24"
"2006/01/03","04:00","-1.549","-","-0.69"
"2006/01/03","05:00","-1.183","-","-0.33"
"2006/01/03","06:00","0.168","-","0.9"
"2006/01/03","07:00","2.144","-","2.79"
"2006/01/03","08:00","4.36","-","4.98"
"2006/01/03","09:00","6.399","-","6.96"
"2006/01/03","10:00","7.846","-","8.47"
"2006/01/03","11:00","8.374","-","9.15"
"2006/01/03","12:00","7.925","-","8.74"
"2006/01/03","13:00","6.773","-","7.54"
"2006/01/03","14:00","5.327","-","6.25"
"2006/01/03","15:00","4.022","-","4.97"
"2006/01/03","16:00","3.324","-","4.28"
"2006/01/03","17:00","3.504","-","4.47"
"2006/01/03","18:00","4.452","-","5.29"
"2006/01/03","19:00","5.855","-","6.72"
"2006/01/03","20:00","7.366","-","8.21"
"2006/01/03","21:00","8.62","-","9.58"
"2006/01/03","22:00","9.256","-","10.03"
"2006/01/03","23:00","8.978","-","9.74"
"2006/01/04","00:00","7.688","-","8.58"
"2006/01/04","01:00","5.624","-","6.68"
"2006/01/04","02:00","3.246","-","4.51"
"2006/01/04","03:00","1.038","-","2.16"
"2006/01/04","04:00","-0.506","-","0.31"
"2006/01/04","05:00","-0.988","-","-0.15"
"2006/01/04","06:00","-0.36","-","0.87"
"2006/01/04","07:00","1.123","-","2.13"
"2006/01/04","08:00","3.115","-","3.72"
"2006/01/04","09:00","5.233","-","5.9"
"2006/01/04","10:00","7.072","-","7.68"
"2006/01/04","11:00","8.25","-","9.12"
"2006/01/04","12:00","8.495","-","9.29"
"2006/01/04","13:00","7.81","-","8.64"
"2006/01/04","14:00","6.507","-","7.18"
"2006/01/04","15:00","4.992","-","5.91"
"2006/01/04","16:00","3.689","-","4.5"
"2006/01/04","17:00","3.021","-","3.64"
"2006/01/04","18:00","3.191","-","3.75"
"2006/01/04","19:00","4.068","-","4.45"
"2006/01/04","20:00","5.362","-","5.71"
"2006/01/04","21:00","6.747","-","6.96"
"2006/01/04","22:00","7.871","-","8.2"
"2006/01/04","23:00","8.41","-","8.81"
"2006/01/05","00:00","8.103","-","8.5"
"2006/01/05","01:00","6.894","-","7.29"
"2006/01/05","02:00","5.05","-","5.72"
"2006/01/05","03:00","3.011","-","3.66"
"2006/01/05","04:00","1.207","-","1.95"
"2006/01/05","05:00","0.064","-","0.68"
"2006/01/05","06:00","-0.101","-","0.64"
"2006/01/05","07:00","0.707","-","1.46"
"2006/01/05","08:00","2.231","-","2.88"
"2006/01/05","09:00","4.141","-","4.83"
