"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2015/01/01","00:00","1.108","-","0.21"
"2015/01/01","01:00","1.989","-","1.14"
"2015/01/01","02:00","3.272","-","2.51"
"2015/01/01","03:00","4.756","-","3.89"
"2015/01/01","04:00","6.168","-","5.2"
"2015/01/01","05:00","7.116","-","6.12"
"2015/01/01","06:00","7.26","-","6.44"
"2015/01/01","07:00","6.69","-","5.97"
"2015/01/01","08:00","5.737","-","4.86"
"2015/01/01","09:00","4.595","-","3.63"
"2015/01/01","10:00","3.583","-","2.85"
"2015/01/01","11:00","3.241","-","2.62"
"2015/01/01","12:00","3.753","-","3.09"
"2015/01/01","13:00","4.854","-","4.18"
"2015/01/01","14:00","6.263","-","5.6"
"2015/01/01","15:00","7.772","-","7.07"
"2015/01/01","16:00","9.125","-","8.38"
"2015/01/01","17:00","9.96","-","9.24"
"2015/01/01","18:00","9.858","-","9.19"
"2015/01/01","19:00","8.725","-","8.04"
"2015/01/01","20:00","6.91","-","6.06"
"2015/01/01","21:00","4.746","-","4"
"2015/01/01","22:00","2.544","-","1.94"
"2015/01/01","23:00","0.904","-","0.23"
"2015/01/02","00:00","0.302","-","-0.5"
"2015/01/02","01:00","0.656","-","-0.07"
"2015/01/02","02:00","1.667","-","1.12"
"2015/01/02","03:00","3.127","-","2.59"
"2015/01/02","04:00","4.818","-","4.21"
"2015/01/02","05:00","6.419","-","5.62"
"2015/01/02","06:00","7.478","-","6.68"
"2015/01/02","07:00","7.664","-","7.14"
"2015/01/02","08:00","7.103","-","6.63"
"2015/01/02","09:00","6.096","-","5.46"
"2015/01/02","10:00","4.839","-","4.1"
"2015/01/02","11:00","3.759","-","3.28"
"2015/01/02","12:00","3.439","-","3"
"2015/01/02","13:00","3.996","-","3.57"
"2015/01/02","14:00","5.129","-","4.61"
"2015/01/02","15:00","6.573","-","6.1"
"2015/01/02","16:00","8.109","-","7.62"
"2015/01/02","17:00","9.444","-","8.99"
"2015/01/02","18:00","10.168","-","9.68"
"2015/01/02","19:00","9.869","-","9.45"
"2015/01/02","20:00","8.53","-","7.89"
"2015/01/02","21:00","6.523","-","5.88"
"2015/01/02","22:00","4.177","-","3.74"
"2015/01/02","23:00","1.887","-","1.68"
"2015/01/03","00:00","0.327","-","-0.02"
"2015/01/03","01:00","-0.097","-","-0.9"
"2015/01/03","02:00","0.45","-","-0.16"
"2015/01/03","03:00","1.666","-","1.2"
"2015/01/03","04:00","3.337","-","2.92"
"2015/01/03","05:00","5.205","-","4.59"
"2015/01/03","06:00","6.898","-","6.16"
"2015/01/03","07:00","7.934","-","7.25"
"2015/01/03","08:00","8.029","-","7.66"
"2015/01/03","09:00","7.354","-","6.93"
"2015/01/03","10:00","6.203","-","5.48"
"2015/01/03","11:00","4.823","-","4.22"
"2015/01/03","12:00","3.747","-","3.37"
"2015/01/03","13:00","3.534","-","3.08"
"2015/01/03","14:00","4.202","-","3.64"
"2015/01/03","15:00","5.423","-","4.87"
"2015/01/03","16:00","6.933","-","6.41"
"2015/01/03","17:00","8.482","-","7.98"
"2015/01/03","18:00","9.737","-","9.26"
"2015/01/03","19:00","10.268","-","9.88"
"2015/01/03","20:00","9.704","-","9.32"
"2015/01/03","21:00","8.112","-","7.56"
"2015/01/03","22:00","5.904","-","5.35"
"2015/01/03","23:00","3.438","-","3.15"
"2015/01/04","00:00","1.196","-","1.03"
"2015/01/04","01:00","-0.137","-","-0.65"
"2015/01/04","02:00","-0.273","-","-1.07"
"2015/01/04","03:00","0.542","-","0.07"
"2015/01/04","04:00","2.001","-","1.62"
"2015/01/04","05:00","3.861","-","3.57"
"2015/01/04","06:00","5.823","-","5.29"
"2015/01/04","07:00","7.484","-","6.87"
"2015/01/04","08:00","8.365","-","7.83"
"2015/01/04","09:00","8.246","-","8"
"2015/01/04","10:00","7.364","-","6.85"
"2015/01/04","11:00","6.044","-","5.39"
"2015/01/04","12:00","4.602","-","4.18"
"2015/01/04","13:00","3.627","-","3.43"
"2015/01/04","14:00","3.601","-","3.24"
"2015/01/04","15:00","4.435","-","4.05"
"2015/01/04","16:00","5.776","-","5.49"
"2015/01/04","17:00","7.341","-","7.17"
"2015/01/04","18:00","8.846","-","8.72"
"2015/01/04","19:00","9.944","-","9.93"
"2015/01/04","20:00","10.204","-","10.32"
"2015/01/04","21:00","9.314","-","9.44"
"2015/01/04","22:00","7.451","-","7.33"
"2015/01/04","23:00","5.086","-","5.09"
"2015/01/05","00:00","2.617","-","2.89"
"2015/01/05","01:00","0.575","-","1.06"
"2015/01/05","02:00","-0.407","-","-0.07"
"2015/01/05","03:00","-0.176","-","-0.16"
"2015/01/05","04:00","0.948","-","1.16"
"2015/01/05","05:00","2.634","-","2.87"
"2015/01/05","06:00","4.61","-","4.79"
"2015/01/05","07:00","6.559","-","6.62"
"2015/01/05","08:00","8.065","-","8.11"
"2015/01/05","09:00","8.662","-","8.97"
"2015/01/05","10:00","8.232","-","8.85"
"2015/01/05","11:00","7.114","-","7.54"
