State,ID,Name,Lat,Long
CA,9410170,San Diego,32.715,-117.176667
CA,9410230,La Jolla,32.866667,​​-117.256667
CA,9410660,Los Angeles,33.72,-118.271667
CA,9410840,Santa Monica,34.008333,-118.5
CA,9411340,Santa Barbara,34.405,-119.691667
CA,9412110,Port San Luis,35.176667,-120.76
CA,9413450,Monterey,36.608333,-121.891667
CA,9414290,San Francisco,37.806667,-122.466667
CA,9414523,Redwood City,37.506667,-122.211667
CA,9414750,Alameda,37.771667,-122.3
CA,9415020,Point Reyes,37.995,-122.973333
CA,9415144,Port Chicago,38.056667,-122.04
CA,9416841,Arena Cove,38.915,-123.711667
CA,9418767,North Spit,40.766667,-124.216667
CA,9419750,Crescent City,41.745 ,-124.185
WA,9440910,Toke Point,46.708333 ,-123.966667
WA,9443090,Neah Bay,48.37,-124.601667
WA,9444090,Port Angeles,48.125,-123.44
WA,9444900,Port Townsend,48.111667 ,-122.76
WA,9447130,Seattle,47.603333,-122.34
WA,9449424,Cherry Point,48.863333 ,-122.758333
WA,9449880,Friday Harbor,48.545,-123.013333
OR,9431647,Port Orford,42.738333,-124.498333
OR,9432780,Charleston,43.345,-124.321667
OR,9435380,South Beach,44.625,-124.045
OR,9437540,Garibaldi,45.555,-123.918333
OR,9439040,Astoria,46.206667,-123.768333
