T,RESIDUALS,SIG_RESID
2006.36002,1.70971,2.46769
2006.36276,2.03451,2.47102
2006.36550,2.92838,2.49764
2006.36824,2.49630,2.49099
2006.37097,2.58728,2.51427
2006.37371,2.69730,2.51760
2006.37645,2.73935,2.48433
2006.37919,2.74843,2.57250
2006.38193,0.65652,2.57582
2006.38466,4.06563,2.54921
2006.38740,2.03373,2.56418
2006.39014,5.94783,2.57915
2006.39288,5.00691,2.55586
2006.39561,1.94597,2.62906
2006.39835,2.30200,2.64735
2006.40109,2.69798,2.54921
2006.40383,2.51392,2.56086
2006.40657,2.42280,2.55919
2006.40930,3.49962,2.57417
2006.41204,2.64136,2.58415
2006.41478,2.46202,2.56585
2006.41752,3.45560,2.67896
2006.42026,1.61307,2.67896
2006.42299,3.32044,2.63904
2006.42573,1.72770,2.62740
2006.42847,0.83083,2.62573
2006.43121,0.88484,2.64071
2006.43394,2.24171,2.56253
2006.43668,1.11743,2.55920
2006.43942,0.86800,2.54755
2006.44216,3.17841,2.55587
2006.44490,1.73965,2.55920
2006.44763,2.24871,2.55587
2006.45037,3.24659,2.56253
2006.45311,0.45428,2.55255
2006.45585,-0.66423,2.55255
2006.45859,1.34106,2.53758
2006.46132,-0.15388,2.56586
2006.46406,1.82497,2.57916
2006.46680,1.67559,2.57750
2006.46954,5.41698,2.57917
2006.47227,2.08912,2.56087
2006.47501,3.12501,2.56420
2006.47775,2.88264,2.57418
2006.48049,1.56501,2.57750
2006.48323,2.82011,2.57750
2006.48596,1.27193,2.56919
2006.48870,2.00247,2.66733
2006.49144,2.13072,2.48934
2006.49418,2.38167,2.54257
2006.49692,-0.79969,2.55256
2006.49965,1.89565,2.54424
2006.50239,1.91667,2.54424
2006.50513,1.66436,2.54258
2006.50787,1.43873,2.54757
2006.51060,-0.03223,2.54923
2006.51334,1.57846,2.57086
2006.51608,1.66881,2.56753
2006.51882,1.91781,2.56753
2006.52156,0.87844,2.54258
2006.52429,3.11272,2.55422
2006.52703,2.09463,2.59914
2006.52977,2.99716,2.56254
2006.53251,2.98232,2.55755
2006.53525,2.07409,2.56421
2006.53798,3.48248,2.54092
2006.54072,2.89947,2.58916
2006.54346,2.73906,2.46939
2006.54620,2.02625,2.46939
2006.54893,2.21404,2.47937
2006.55167,2.38341,2.48603
2006.55441,3.53937,2.45775
2006.55715,1.65091,2.46274
2006.55989,3.79303,2.44943
2006.56262,2.50472,2.49268
2006.56536,2.59798,2.54425
2006.56810,2.83080,2.48603
2006.57084,2.62219,2.47771
2006.57357,2.87513,2.48271
2006.57631,0.04563,2.50433
2006.57905,-0.09631,2.46441
2006.58179,1.12529,2.49435
2006.58453,2.99245,2.50932
2006.58726,2.65314,2.50433
2006.59000,2.21838,2.57087
2006.59274,2.71116,2.52263
2006.59548,3.87047,2.53760
2006.59822,1.99033,2.53760
2006.60095,2.36271,2.49435
2006.60369,5.28163,2.49269
2006.60643,1.75607,2.48437
2006.60917,0.29204,2.48604
2006.61190,2.51455,2.48438
2006.61464,2.29157,2.48105
2006.61738,2.58712,2.47273
2006.62012,2.80620,2.58585
2006.62286,0.52480,2.47939
2006.62559,2.65392,2.47939
2006.62833,2.85356,2.51266
2006.63107,2.83872,2.47274
2006.63381,3.51340,2.46941
2006.63655,2.17661,2.48604
2006.63928,2.74433,2.49103
2006.64202,1.66358,2.49436
