T,RESIDUALS,SIG_RESID
2006.36002,4.33097,4.89190
2006.36276,2.87811,4.89624
2006.36550,0.62090,4.94056
2006.36824,3.57036,4.91102
2006.37097,4.71749,5.00661
2006.37371,10.14931,5.00400
2006.37645,10.56183,4.91189
2006.37919,3.58206,5.00922
2006.38193,6.35602,5.02486
2006.38466,13.95972,4.98749
2006.38740,9.67818,5.04572
2006.39014,-1.14060,5.09264
2006.39288,1.84140,5.00488
2006.39561,-1.03081,5.13609
2006.39835,5.49580,5.15000
2006.40109,1.04622,4.98924
2006.40383,-0.64953,5.00401
2006.40657,0.28757,5.02052
2006.40930,2.91054,5.05181
2006.41204,1.07237,5.09439
2006.41478,4.74210,5.05355
2006.41752,4.40173,5.32814
2006.42026,8.08627,5.34205
2006.42299,2.89074,5.19954
2006.42573,9.00416,5.18303
2006.42847,13.20454,5.11699
2006.43121,7.42388,5.14132
2006.43394,-0.01979,5.03009
2006.43668,5.94154,5.02053
2006.43942,3.80888,4.99707
2006.44216,7.41025,5.00141
2006.44490,6.89566,4.98664
2006.44763,1.71012,5.00402
2006.45037,5.95266,5.04052
2006.45311,2.57427,5.01619
2006.45585,6.05398,4.98925
2006.45859,9.80180,4.97622
2006.46132,14.38274,5.09527
2006.46406,6.68982,5.11352
2006.46680,6.54505,5.11439
2006.46954,3.31045,5.14133
2006.47227,2.26802,5.06833
2006.47501,8.05178,5.09875
2006.47775,6.44075,5.12048
2006.48049,-0.26507,5.13351
2006.48323,6.19035,5.14568
2006.48596,7.57901,5.12830
2006.48870,16.14793,5.40984
2006.49144,7.74413,5.00317
2006.49418,3.84560,5.04401
2006.49692,4.21537,5.06574
2006.49965,-0.29855,5.05878
2006.50239,1.64786,5.04662
2006.50513,2.82760,5.05618
2006.50787,1.14169,5.03706
2006.51060,0.45913,5.04141
2006.51334,1.54995,5.08573
2006.51608,3.38516,5.09789
2006.51882,7.58676,5.10832
2006.52156,4.19477,5.05445
2006.52429,4.83220,5.05358
2006.52703,-2.75293,5.21347
2006.52977,6.49638,5.08312
2006.53251,3.72114,5.07791
2006.53525,2.33437,5.10051
2006.53798,7.35708,5.03446
2006.54072,7.84928,5.20565
2006.54346,6.06298,4.90759
2006.54620,7.89419,4.90672
2006.54893,-1.16008,4.95365
2006.55167,5.16619,4.95104
2006.55441,7.18700,4.89630
2006.55715,5.39336,4.90846
2006.55989,2.48528,4.87284
2006.56262,4.73078,5.03534
2006.56536,3.83586,4.99450
2006.56810,-0.11347,4.96930
2006.57084,-0.47220,4.92845
2006.57357,-3.23132,4.95279
2006.57631,0.31618,5.00667
2006.57905,2.28431,4.92411
2006.58179,0.95908,4.98494
2006.58453,5.21349,5.08401
2006.58726,8.79956,5.06750
2006.59000,6.14728,5.14049
2006.59274,-2.26332,5.08227
2006.59548,-3.79025,5.14918
2006.59822,-1.92649,5.16656
2006.60095,-5.32804,4.97800
2006.60369,0.57111,4.96931
2006.60643,5.00696,4.94237
2006.60917,1.82253,4.95193
2006.61190,-1.31319,4.95627
2006.61464,3.04482,4.95627
2006.61738,4.43056,4.93889
2006.62012,6.06903,5.04057
2006.62286,2.46025,4.94411
2006.62559,2.64321,4.94063
2006.62833,2.79693,5.06403
2006.63107,0.19340,4.94759
2006.63381,4.66864,4.93803
2006.63655,-1.28436,4.98496
2006.63928,1.52441,4.98496
2006.64202,4.27296,5.00842
2006.64476,5.09128,5.07620
2006.64750,1.25639,5.17092
2006.65023,4.77828,5.23349
2006.65297,0.53596,5.35079
2006.65571,0.11843,5.23696
2006.65845,-0.02530,5.27085
2006.66119,10.68176,5.28215
2006.66392,1.54162,5.27607
2006.66666,-0.03873,5.33429
2006.66940,1.53573,5.29171
2006.67214,-0.66301,5.19960
2006.67488,2.02706,5.36383
2006.67761,-0.21207,5.35514
2006.68035,-3.89239,5.22567
2006.68309,7.15109,5.49070
2006.68583,5.63438,5.49765
2006.68856,-1.36852,5.24479
2006.69130,2.89238,5.11010
2006.69404,2.91008,5.10662
2006.69678,-0.35841,5.17701
2006.69952,8.44291,5.17354
2006.70225,19.48403,5.62712
2006.70499,-3.23305,5.12401
2006.70773,-1.56134,5.00930
2006.71047,13.47218,5.07448
2006.71321,10.27249,5.45681
2006.71594,-0.17841,5.07535
2006.71868,-9.45151,5.15268
2006.72142,1.94817,5.22655
2006.72416,13.50064,5.24045
2006.72689,1.79088,5.17180
2006.72963,6.35691,5.16225
2006.73237,3.00671,5.11532
2006.73511,4.45427,5.07361
2006.73785,0.88961,5.05536
