T,RESIDUALS,SIG_RESID
2006.36002,-1.73933,2.78598
2006.36276,-2.82996,2.78120
2006.36550,-0.90150,2.78598
2006.36824,-2.15597,2.77404
2006.37097,-1.45236,2.86484
2006.37371,-1.37670,2.86723
2006.37645,-2.37598,2.80510
2006.37919,-2.78722,2.84812
2006.38193,-3.68342,2.85051
2006.38466,-2.35459,2.84095
2006.38740,-2.25173,2.87440
2006.39014,0.47914,2.89591
2006.39288,-1.27898,2.85529
2006.39561,-0.85710,2.94132
2006.39835,-0.99523,2.93176
2006.40109,-1.33437,2.83139
2006.40383,-2.02553,2.83617
2006.40657,-0.88573,2.85290
2006.40930,-1.01496,2.86007
2006.41204,-1.22023,2.87441
2006.41478,-1.64856,2.85051
2006.41752,-2.07595,2.94610
2006.42026,0.42059,2.95805
2006.42299,-0.35394,2.91503
2006.42573,-1.32156,2.91026
2006.42847,-2.70126,2.87680
2006.43121,-1.08107,2.88875
2006.43394,-1.09597,2.86008
2006.43668,-0.23700,2.85769
2006.43942,-0.82514,2.85052
2006.44216,-1.65440,2.85052
2006.44490,-0.31581,2.83618
2006.44763,-0.46135,2.85291
2006.45037,-1.52404,2.86725
2006.45311,-0.48989,2.85530
2006.45585,-1.86190,2.83618
2006.45859,-0.24808,2.83140
2006.46132,-1.77944,2.91265
2006.46406,-0.70798,2.91743
2006.46680,-0.59271,2.91743
2006.46954,-2.37064,2.92938
2006.47227,-1.35678,2.89354
2006.47501,-0.22713,2.91026
2006.47775,-1.16769,2.91743
2006.48049,-1.26148,2.91982
2006.48323,-1.42450,2.92221
2006.48596,-1.11076,2.91266
2006.48870,-3.10726,3.03452
2006.49144,-1.29101,2.83858
2006.49418,-1.94501,2.85531
2006.49692,-0.94928,2.86248
2006.49965,-1.13782,2.86248
2006.50239,-0.85064,2.85053
2006.50513,-1.63873,2.86248
2006.50787,-1.88711,2.84336
2006.51060,-2.43978,2.84814
2006.51334,-0.61775,2.86248
2006.51608,-0.07702,2.86248
2006.51882,-1.59261,2.87443
2006.52156,-1.37650,2.86009
